timestamp,symbol,timeframe,open,high,low,close,volume
2024-01-11,IBIT,daily,27.94,30.0,26.28,26.63,37708304.0
2024-01-12,IBIT,daily,26.4,26.41,24.75,24.97,22991870.0
2024-01-16,IBIT,daily,24.7,24.862,24.04,24.72,15078207.0
2024-01-17,IBIT,daily,24.35,24.56,24.15,24.41,13964502.0
2024-01-18,IBIT,daily,24.35,24.47,23.2,23.34,17823191.0
2024-01-19,IBIT,daily,23.49,24.1199,23.03,23.8,18284068.0
2024-01-22,IBIT,daily,23.2,23.33,22.5,22.95,17222074.0
2024-01-23,IBIT,daily,22.19,22.63,22.02,22.32,13431658.0
2024-01-24,IBIT,daily,22.82,22.97,22.57,22.6,11872470.0
2024-01-25,IBIT,daily,22.86,22.9,22.58,22.76,8954870.0
2024-01-26,IBIT,daily,23.52,24.12,23.48,23.99,20273847.0
2024-01-29,IBIT,daily,23.99,24.77,23.88,24.67,19012898.0
2024-01-30,IBIT,daily,24.84,24.98,24.685,24.88,15541322.0
2024-01-31,IBIT,daily,24.38,25.0,24.26,24.3,13369335.0
2024-02-01,IBIT,daily,24.21,24.72,24.19,24.54,12411413.0
2024-02-02,IBIT,daily,24.39,24.825,24.38,24.5,10329020.0
2024-02-05,IBIT,daily,24.75,24.79,24.13,24.19,6807517.0
2024-02-06,IBIT,daily,24.47,24.7699,24.4498,24.6,7352898.0
2024-02-07,IBIT,daily,24.66,25.2857,24.49,25.22,13952229.0
2024-02-08,IBIT,daily,25.755,26.08,25.64,26.03,18568455.0
2024-02-09,IBIT,daily,26.85,27.57,26.75,27.15,20742776.0
2024-02-12,IBIT,daily,27.53,28.86,27.515,28.66,35138572.0
2024-02-13,IBIT,daily,27.97,28.28,27.62,28.22,20913598.0
2024-02-14,IBIT,daily,29.58,29.825,29.24,29.55,28134453.0
2024-02-15,IBIT,daily,29.995,30.23,29.48,29.52,22844686.0
2024-02-16,IBIT,daily,29.858,29.97,29.49,29.62,15976526.0
2024-02-20,IBIT,daily,29.88,29.92,28.97,29.67,21166418.0
2024-02-21,IBIT,daily,29.055,29.35,28.91,29.08,17767555.0
2024-02-22,IBIT,daily,29.17,29.76,29.135,29.72,15468402.0
2024-02-23,IBIT,daily,29.26,29.31,28.91,29.16,13285822.0
2024-02-26,IBIT,daily,29.34,31.43,29.33,31.12,42806425.0
2024-02-27,IBIT,daily,32.53,32.96,32.17,32.59,42006445.0
2024-02-28,IBIT,daily,34.41,36.87,33.8,34.45,96833380.0
2024-02-29,IBIT,daily,36.205,36.38,34.47,35.42,53837492.0
2024-03-01,IBIT,daily,35.65,36.17,34.93,35.99,35133569.0
2024-03-04,IBIT,daily,37.42,38.89,37.4,38.65,63439014.0
2024-03-05,IBIT,daily,38.665,39.69,34.03,35.32,107143597.0
2024-03-06,IBIT,daily,38.16,38.595,37.295,38.29,45934345.0
2024-03-07,IBIT,daily,38.5,38.94,38.08,38.63,41620143.0
2024-03-08,IBIT,daily,38.935,40.2,37.77,39.55,89933979.0
2024-03-11,IBIT,daily,41.31,41.65,40.74,41.12,74484699.0
2024-03-12,IBIT,daily,41.28,41.8,39.21,40.73,90465387.0
2024-03-13,IBIT,daily,41.52,41.99,40.93,41.95,51296946.0
2024-03-14,IBIT,daily,41.46,41.53,39.01,39.51,97507676.0
2024-03-15,IBIT,daily,38.69,40.3239,38.44,39.39,68768285.0
2024-03-18,IBIT,daily,38.81,39.13,37.93,38.14,53201564.0
2024-03-19,IBIT,daily,36.35,37.53,35.49,36.7,69685175.0
2024-03-20,IBIT,daily,36.18,37.69,35.41,37.55,71309267.0
2024-03-21,IBIT,daily,38.605,38.61,37.0,37.15,47085932.0
2024-03-22,IBIT,daily,36.6,36.69,35.705,36.41,39957363.0
2024-03-25,IBIT,daily,38.2,40.62,38.195,40.55,64562024.0
2024-03-26,IBIT,daily,40.45,40.51,39.54,39.63,44351363.0
2024-03-27,IBIT,daily,40.91,40.97,39.015,39.13,46746940.0
2024-03-28,IBIT,daily,40.56,40.96,40.215,40.47,44764022.0
2024-04-01,IBIT,daily,39.99,40.03,38.835,39.75,34414607.0
2024-04-02,IBIT,daily,37.02,37.84,36.8,37.6,33836285.0
2024-04-03,IBIT,daily,37.5,38.2,37.37,37.54,29143911.0
2024-04-04,IBIT,daily,38.41,39.6097,38.29,39.08,43648553.0
2024-04-05,IBIT,daily,38.16,39.155,38.1102,38.41,28504218.0
2024-04-08,IBIT,daily,41.15,41.2,40.61,40.95,39862448.0
2024-04-09,IBIT,daily,40.29,40.5,38.9,39.33,35270455.0
2024-04-10,IBIT,daily,38.58,40.0,38.46,40.0,38908023.0
2024-04-11,IBIT,daily,40.35,40.4536,39.655,40.17,27725536.0
2024-04-12,IBIT,daily,40.0,40.1,37.17,38.14,57221423.0
2024-04-15,IBIT,daily,37.78,37.95,35.54,36.08,46360334.0
2024-04-16,IBIT,daily,36.04,36.13,35.16,35.75,35341655.0
2024-04-17,IBIT,daily,35.57,35.92,33.99,34.76,52597859.0
2024-04-18,IBIT,daily,35.58,36.61,35.28,36.21,35544174.0
2024-04-19,IBIT,daily,36.95,37.15,36.24,36.67,34806727.0
2024-04-22,IBIT,daily,37.67,38.15,37.45,37.93,29881144.0
2024-04-23,IBIT,daily,37.71,38.31,37.69,37.9,17572330.0
2024-04-24,IBIT,daily,37.63,37.83,36.29,36.41,32177994.0
2024-04-25,IBIT,daily,35.94,36.99,35.79,36.86,25317116.0
2024-04-26,IBIT,daily,36.35,36.9215,36.06,36.32,20226049.0
2024-04-29,IBIT,daily,35.59,36.0,35.14,35.87,21694920.0
2024-04-30,IBIT,daily,34.81,35.01,33.54,33.57,41584269.0
2024-05-01,IBIT,daily,32.82,33.83,32.2,32.39,45405579.0
2024-05-02,IBIT,daily,33.45,33.965,33.16,33.8,23146274.0
2024-05-03,IBIT,daily,34.9,35.5,34.855,35.4,26368310.0
2024-05-06,IBIT,daily,36.24,36.61,35.7376,36.01,27166560.0
2024-05-07,IBIT,daily,36.21,36.6886,35.78,35.93,14753252.0
2024-05-08,IBIT,daily,35.34,35.79,35.17,35.38,14277713.0
2024-05-09,IBIT,daily,34.94,35.75,34.66,35.58,16930090.0
2024-05-10,IBIT,daily,35.8,35.995,34.26,34.58,28986035.0
2024-05-13,IBIT,daily,35.78,36.19,35.65,36.0,17204940.0
2024-05-14,IBIT,daily,35.34,35.495,34.8,35.07,13742748.0
2024-05-15,IBIT,daily,36.67,37.93,36.46,37.67,40518600.0
2024-05-16,IBIT,daily,37.635,37.91,36.8211,37.15,22092079.0
2024-05-17,IBIT,daily,37.84,38.54,37.54,38.28,25516871.0
2024-05-20,IBIT,daily,38.21,40.0499,38.07,39.97,32788580.0
2024-05-21,IBIT,daily,40.465,40.67,39.405,39.47,29875156.0
2024-05-22,IBIT,daily,39.77,40.33,39.445,39.71,20566823.0
2024-05-23,IBIT,daily,39.51,39.575,38.01,38.27,23933848.0
2024-05-24,IBIT,daily,38.43,39.59,38.16,39.46,19910862.0
2024-05-28,IBIT,daily,38.98,39.1,38.305,38.98,19703173.0
2024-05-29,IBIT,daily,38.66,38.74,38.24,38.32,14675489.0
2024-05-30,IBIT,daily,38.875,39.69,38.7852,39.16,26021376.0
2024-05-31,IBIT,daily,39.17,39.23,37.92,38.55,23144669.0
2024-06-03,IBIT,daily,39.78,40.12,39.09,39.44,27654000.0
2024-06-04,IBIT,daily,39.59,40.59,39.47,40.17,40569466.0
2024-06-05,IBIT,daily,40.58,41.0,40.111,40.67,30997617.0
2024-06-06,IBIT,daily,40.58,40.89,40.14,40.16,20192978.0
2024-06-07,IBIT,daily,40.69,40.89,38.89,39.42,35710320.0
2024-06-10,IBIT,daily,39.465,40.02,39.4,39.59,15895680.0
2024-06-11,IBIT,daily,38.29,38.535,37.62,38.43,29402910.0
2024-06-12,IBIT,daily,39.49,39.96,38.3,38.45,27518624.0
2024-06-13,IBIT,daily,38.78,38.935,37.68,37.9,24858536.0
2024-06-14,IBIT,daily,38.36,38.3899,37.025,37.3,22309008.0
2024-06-17,IBIT,daily,37.385,38.34,37.0201,37.98,17785637.0
2024-06-18,IBIT,daily,36.949,37.23,36.4399,36.64,25778215.0
2024-06-20,IBIT,daily,37.22,37.31,36.73,37.04,15271087.0
2024-06-21,IBIT,daily,36.21,36.675,36.06,36.58,21001034.0
2024-06-24,IBIT,daily,34.87,35.14,33.58,33.765,46597005.0
2024-06-25,IBIT,daily,34.885,35.565,34.73,35.3,31346229.0
2024-06-26,IBIT,daily,35.03,35.33,34.5601,34.71,13026589.0
2024-06-27,IBIT,daily,35.08,35.56,34.935,34.98,14788756.0
2024-06-28,IBIT,daily,35.03,35.225,34.1,34.14,18313090.0
2024-07-01,IBIT,daily,35.82,36.405,35.5802,36.0,18509918.0
2024-07-02,IBIT,daily,35.82,35.975,35.15,35.22,13772242.0
2024-07-03,IBIT,daily,34.35,34.6,34.11,34.44,12793340.0
2024-07-05,IBIT,daily,31.675,32.5378,31.57,32.2,47018318.0
2024-07-08,IBIT,daily,32.6,32.72,31.34,32.16,28999053.0
2024-07-09,IBIT,daily,32.62,33.235,32.441,32.96,18029700.0
2024-07-10,IBIT,daily,33.06,33.09,32.67,32.67,17248800.0
2024-07-11,IBIT,daily,33.52,33.64,32.57,32.7,21952222.0
2024-07-12,IBIT,daily,32.8,33.4099,32.772,32.85,16920991.0
2024-07-15,IBIT,daily,35.79,36.47,35.61,36.15,34245891.0
2024-07-16,IBIT,daily,36.425,37.22,35.97,37.17,27810528.0
2024-07-17,IBIT,daily,36.87,37.3,36.39,36.84,32704074.0
2024-07-18,IBIT,daily,36.995,37.07,36.03,36.22,22725779.0
2024-07-19,IBIT,daily,36.56,38.53,36.5,38.4,46756055.0
2024-07-22,IBIT,daily,38.56,38.96,37.95,38.93,24116204.0
2024-07-23,IBIT,daily,37.95,38.4,37.2727,37.34,35482190.0
2024-07-24,IBIT,daily,37.99,38.28,37.36,37.42,23403029.0
2024-07-25,IBIT,daily,36.62,37.15,36.09,36.83,21928801.0
2024-07-26,IBIT,daily,38.46,38.89,38.13,38.79,28993204.0
2024-07-29,IBIT,daily,39.73,39.745,37.83,38.34,38158742.0
2024-07-30,IBIT,daily,37.98,38.14,37.32,37.55,19556049.0
2024-07-31,IBIT,daily,37.87,38.09,36.995,37.18,20532966.0
2024-08-01,IBIT,daily,36.8,36.98,35.43,36.07,37068050.0
2024-08-02,IBIT,daily,36.93,37.32,35.49,35.61,35706119.0
2024-08-05,IBIT,daily,28.35,31.66,28.23,30.48,97633006.0
2024-08-06,IBIT,daily,31.43,32.535,31.0,32.34,39663758.0
2024-08-07,IBIT,daily,32.65,32.79,31.12,31.19,24351454.0
2024-08-08,IBIT,daily,32.91,34.14,32.3,33.88,32889358.0
2024-08-09,IBIT,daily,34.41,34.835,33.93,34.6,18872717.0
2024-08-12,IBIT,daily,33.93,34.6,32.945,33.64,20819164.0
2024-08-13,IBIT,daily,33.57,35.125,33.54,34.64,20186031.0
2024-08-14,IBIT,daily,34.635,34.74,33.43,33.56,19032543.0
2024-08-15,IBIT,daily,33.72,34.12,32.29,32.5,29136123.0
2024-08-16,IBIT,daily,33.36,34.1355,32.85,34.03,22686484.0
2024-08-19,IBIT,daily,33.47,33.795,33.1,33.62,13480151.0
2024-08-20,IBIT,daily,34.52,34.7697,33.35,33.92,21676586.0
2024-08-21,IBIT,daily,33.88,35.145,33.53,35.13,22993901.0
2024-08-22,IBIT,daily,34.66,34.735,34.24,34.35,15825085.0
2024-08-23,IBIT,daily,34.805,36.44,34.64,36.28,51673290.0
2024-08-26,IBIT,daily,36.34,36.415,35.92,36.09,19479653.0
2024-08-27,IBIT,daily,35.56,35.5872,34.99,35.38,19488634.0
2024-08-28,IBIT,daily,34.1,34.2,32.93,33.52,36007387.0
2024-08-29,IBIT,daily,34.3,34.825,33.52,33.69,22692502.0
2024-08-30,IBIT,daily,33.9,34.07,32.84,33.37,22832260.0
2024-09-03,IBIT,daily,33.64,33.65,32.7,32.98,23729710.0
2024-09-04,IBIT,daily,32.1,33.3083,31.92,33.04,19582957.0
2024-09-05,IBIT,daily,32.23,32.6,31.71,31.85,20575413.0
2024-09-06,IBIT,daily,32.285,32.38,30.24,30.41,40486810.0
2024-09-09,IBIT,daily,31.52,32.58,31.1737,32.51,24533687.0
2024-09-10,IBIT,daily,32.41,33.06,32.15,33.0,12648720.0
2024-09-11,IBIT,daily,32.33,33.015,31.58,32.8,20530578.0
2024-09-12,IBIT,daily,32.87,33.35,32.61,33.25,15890670.0
2024-09-13,IBIT,daily,32.88,34.225,32.8,34.04,33124995.0
2024-09-16,IBIT,daily,33.31,33.33,32.69,32.98,20931180.0
2024-09-17,IBIT,daily,33.76,34.97,33.5201,34.1,39849912.0
2024-09-18,IBIT,daily,34.08,34.93,33.66,34.15,28844922.0
2024-09-19,IBIT,daily,36.03,36.3962,35.665,36.01,25199431.0
2024-09-20,IBIT,daily,35.85,36.1955,35.515,35.8,15938421.0
2024-09-23,IBIT,daily,36.06,36.355,35.89,36.04,17294801.0
2024-09-24,IBIT,daily,36.14,36.69,35.69,36.64,19764103.0
2024-09-25,IBIT,daily,36.15,36.45,35.83,35.97,13547134.0
2024-09-26,IBIT,daily,36.655,37.53,36.52,36.84,41457113.0
2024-09-27,IBIT,daily,37.42,37.94,37.245,37.39,28884545.0
2024-09-30,IBIT,daily,36.42,36.49,35.86,36.13,23623984.0
2024-10-01,IBIT,daily,36.07,36.1,34.69,35.13,43920514.0
2024-10-02,IBIT,daily,34.63,35.51,34.135,34.24,29353609.0
2024-10-03,IBIT,daily,34.4,34.75,34.06,34.72,18482525.0
2024-10-04,IBIT,daily,35.04,35.6,34.575,35.52,22721190.0
2024-10-07,IBIT,daily,35.91,36.7297,35.69,36.06,21124067.0
2024-10-08,IBIT,daily,35.63,35.99,35.16,35.4,25203180.0
2024-10-09,IBIT,daily,35.21,35.495,34.56,34.68,18243990.0
2024-10-10,IBIT,daily,34.76,34.76,33.465,33.95,25996472.0
2024-10-11,IBIT,daily,34.94,36.145,34.94,35.94,33399382.0
2024-10-14,IBIT,daily,36.87,37.815,36.82,37.57,44553135.0
2024-10-15,IBIT,daily,37.53,38.745,36.875,38.17,53538980.0
2024-10-16,IBIT,daily,38.66,38.93,38.24,38.58,26627479.0
2024-10-17,IBIT,daily,38.16,38.54,37.94,38.05,19655515.0
2024-10-18,IBIT,daily,38.61,39.37,38.56,39.07,39820519.0
2024-10-21,IBIT,daily,38.64,38.67,38.02,38.57,28773411.0
2024-10-22,IBIT,daily,38.18,38.55,37.8909,38.41,23972920.0
2024-10-23,IBIT,daily,37.86,38.08,37.09,37.81,25771162.0
2024-10-24,IBIT,daily,38.47,38.92,38.3,38.87,27015528.0
2024-10-25,IBIT,daily,38.72,39.2,37.47,38.01,51745568.0
2024-10-28,IBIT,daily,39.25,39.84,38.95,39.67,54652311.0
2024-10-29,IBIT,daily,40.56,41.96,40.36,41.33,81566346.0
2024-10-30,IBIT,daily,40.88,41.28,40.6215,40.88,32004733.0
2024-10-31,IBIT,daily,40.98,41.01,39.725,39.78,48039769.0
2024-11-01,IBIT,daily,39.925,40.7983,39.1,39.37,49930218.0
2024-11-04,IBIT,daily,39.03,39.12,38.1701,38.25,36048942.0
2024-11-05,IBIT,daily,39.43,40.13,39.11,39.51,36660442.0
2024-11-06,IBIT,daily,42.32,43.63,41.86,43.4,97138123.0
2024-11-07,IBIT,daily,42.71,43.84,42.47,43.6,40670192.0
